	NAME	TEAM
Argentina,	Carlos Delfino,	Bucks
Argentina,	Emanuel "Manu" Ginobili,	Spurs
Argentina,	Andres Nocioni,	76ers
Argentina,	Luis Scola,	Rockets
Australia,	David Andersen,	Raptors
Australia,	Andrew Bogut,	Bucks
Australia,	Patrick Mills,	Blazers      
Belgium	Didier "DJ" Ilunga-Mbenga,	Hornets
Brazil,	Nene,	Nuggets
Brazil,	Leandro Barbosa,	Raptors
Brazil,	Tiago Splitter,	Spurs
Brazil,	Anderson Varejao,	Cavaliers
Cameroon,	Luc Mbah A Moute,	Bucks
Canada,	Joel Anthony,	Heat
Canada,	Samuel Dalembert,	Kings
Canada,	Jamaal Magloire,	Heat
Canada,	Steve Nash,	Suns
China,	Yao Ming,	Rockets
China,	Yi Jianlian,	Wizards
Congo,	Serge Ibaka,	Thunder, Democratic Republic 
of the Congo,	Christian Eeyenga,	Cavaliers
Dominican Republic,	Francisco Garcia,	Kings
Dominican Republic,	Al Horford,	Hawks
France,	Alexis Ajinca,	Mavericks
France,	Nicolas Batum,	Trail Blazers
France,	Rodrigue Beaubois,	Mavericks
France,	Boris Diaw,	Bobcats
France,	Ian Mahinmi,	Mavericks
France,	Tony Parker,	Spurs
France,	Johan Petro,	Nets
France,	Mickael Pietrus,	Magic
France,	Kevin Seraphin,	Wizards
France,	Pape Sy,	Hawks
France,	Ronny Turiaf, Knicks
Georgia,	Zaza Pachulia,	Hawks
Germany,	Dirk Nowitzki,	Mavericks
Great Britain,	Kelenna Azubuike,	Knicks
Great Britain,	Luol Deng,	Bulls
Great Britain,	Pops Mensah Bonsu,	Hornets
Iran,	Hamed Haddadi,	Grizzlies
Israel,	Omri Casspi,	Kings
Italy,	Andrea Bargnani,	Raptors
Italy,	Marco Belinelli,	Hornets
Italy,	Danilo Gallinari,	Knicks
Jamaica,	Samardo Samuels,	Cavaliers
Latvia, Andris Biedrins,	Warriors
Lithuania,	Zydrunas Ilgauskas,	Heat
Lithuania,	Linas Kleiza,	Raptors
Lithuania,	Darius Songaila,	76ers
Mexico,	Eduardo Najera,	Bobcats
Montenegro,	Nikola Pekovic,	Timberwolves
Netherlands,	Francisco Elson,	Jazz
Netherlands,	Dan Gadzuric,	Warriors
Nigeria,	Solomon Alabi,	Raptors
Poland,	Marcin Gortat,	Magic
Puerto Rico,	Carlos Arroyo,	Heat
Puerto Rico,	Jose Juan Barea,	Mavericks
Russia,	Andrei Kirilenko,	Jazz
Russia,	Timofey Mozgov,	Knicks
Senegal,	DeSagana Diop,	Bobcats
Senegal,	Hamady N'Diaye,	Wizards
Serbia,	Nenad Krstic,	Thunder
Serbia,	Darko Milicic,	Timberwolves
Serbia,	Vladimir Radmanovic,	Warriors
Serbia,	Predrag "Peja" Stojakovic,	Hornets
Slovenia,	Goran Dragic,	Suns
Slovenia,	Beno Udrih,	Kings
Slovenia,	Sasha Vujacic,	Lakers
Spain,	Jose Manuel Calderon,	Raptors
Spain,	Rudy Fernandez,	Trail Blazers
Spain,	Marc Gasol,	Grizzlies
Spain,	Pau Gasol,	Lakers
Sweden,	Jonas Jerebko,	Pistons
Switzerland,	Thabo Sefolosha,	Thunder
Tanzania,	Hasheem Thabeet,	Grizzlies
Turkey,	Omer Asik,	Bulls
Turkey,	Semih Erden,	Celtics
Turkey,	Ersan Ilyasova,	Bucks
Turkey,	Mehmet Okur,	Jazz
Turkey,	Hidayet "Hedo" Turkoglu	Suns
Ukraine,	Kyrylo Fesenko,	Jazz
U.S. Virgin Islands,	Raja Bell,	Jazz
U.S. Virgin Islands, Tim Duncan,	Spurs
Venezuela, Greivis Vasquez,	Grizzlies
