Argentina, Carlos Delfino, Milwaukee Bucks
Argentina, Emanuel "Manu" Ginobili, San Antonio Spurs
Argentina, Andres Nocioni, Philadelphia 76ers
Argentina, Luis Scola, Houston Rockets 
Australia, Andrew Bogut, Milwaukee Bucks 
Brazil, Nene Denver, Nuggets
Brazil, Leandro Barbosa, Toronto Raptors
Brazil, Tiago Splitter, San Antonio Spurs
Brazil, Anderson Varejao, Cleveland Cavaliers 
Cameroon, Luc Mbah A Moute, Milwaukee Bucks 
Canada, Joel Anthony Miami, Heat
Canada,Samuel Dalembert, Houston Rockets
Canada,Cory Joseph, San Antonio Spurs
Canada, Jamaal Magloire, Toronto Raptors
Canada, Steve Nash, Phoenix Suns
Canada, Tristan Thompson, Cleveland Cavaliers 
China, Yi Jianlian, Dallas Mavericks 
Congo, Serge Ibaka, Oklahoma City Thunder 
Czech Republic, Jan Vesely, Washington Wizards 
Democratic Republic of the Congo, Bismack Biyombo, Charlotte Bobcats
Democratic Republic of the Congo,Christian Eeyenga, Cleveland Cavaliers 
Dominican Republic, Francisco Garcia, Sacramento Kings
Dominican Republic, Al Horford, Atlanta Hawks 
France, Nicolas Batum, Portland Trail Blazers
France, Rodrigue Beaubois, Dallas Mavericks
France, Boris Diaw, Charlotte Bobcats
France, Ian Mahinmi, Dallas Mavericks
France, Tony Parker, San Antonio Spurs
France, Johan Petro, New Jersey Nets 
France, Mickael Pietrus, Boston Celtics
France, Kevin Seraphin, Washington Wizards
France, Ronny Turiaf, Washington Wizards 
Georgia, Zaza Pachulia, Atlanta Hawks 
Germany, Dirk Nowitzki, Dallas Mavericks
Great Britain, Luol Deng, Chicago Bulls
Iran, Hamed Haddadi, Memphis Grizzlies
Israel, Omri Casspi, Cleveland Cavaliers 
Italy, Andrea Bargnani, Toronto Raptors
Italy, Marco Belinelli, New Orleans Hornets
Italy, Danilo Gallinari, Denver Nuggets   
Jamaica, Jerome Jordan, New York Knicks
Jamaica, Samardo Samuels, Cleveland Cavaliers 
Latvia, Andris Biedrins, Golden State Warriors
Lithuania, Linas Kleiza, Toronto Raptors 
Mexico, Gustavo Ayon, New Orleans Hornets
Mexico, Eduardo Najera, Charlotte Bobcats 
Montenegro, Nikola Pekovic, Minnesota Timberwolves
Montenegro, Nikola Vucevic, Philadelphia 76ers 
Nigeria, Solomon Alabi, Toronto Raptors 
Panama, Gary Forbes, Toronto Raptors 
Poland, Marcin Gortat, Phoenix Suns
Puerto Rico, Jose Juan Barea, Minnesota Timberwolves
Russia, Timofey Mozgov, Denver Nuggets 
Senegal, DeSagana Diop, Charlotte Bobcats
Senegal, Hamady N’Diaye, Washington Wizards 
Serbia, Darko Milicic, Minnesota Timberwolves
Serbia, Aleksandar Pavlovic, Boston Celtics
Serbia, Vladimir Radmanovic, Golden State Warriors 
Slovenia, Goran Dragic, Houston Rockets
Slovenia, Beno Udrih, Milwaukee Bucks 
Spain, Jose Manuel Calderon, Toronto Raptors
Spain, Rudy Fernandez, Denver Nuggets
Spain, Marc Gasol, Memphis Grizzlies
Spain, Pau Gasol, Los Angeles Lakers
Spain, Ricky Rubio, Minnesota Timberwolves 
Sweden, Jonas Jerebko, Detroit Pistons
Switzerland, Thabo Sefolosha, Oklahoma City Thunder 
Tanzania, Hasheem Thabeet, Houston Rockets 
Turkey, Omer Asik, Chicago Bulls
Turkey,Semih Erden Cleveland, Cavaliers
Turkey,Ersan Ilyasova, Milwaukee Bucks
Turkey,Enes Kanter, Utah Jazz
Turkey,Mehmet Okur, New Jersey
Turkey, Hidayet "Hedo" Turkoglu, Orlando Magic
U.S Virgin Islands, Raja Bell, Utah Jazz
U.S Virgin Islands, Tim Duncan, San Antonio Spurs 
Venezuela, Greivis Vasquez, New Orleans Hornets 


















